Nome,Idade,Telefone,Endereço,E-mail
João Silva,25,(45) 99999-9999,"Rua A, 123",joao.silva@exemplo.com
maria souza,trinta,0988888-8888,"Rua B, 123",maria_souza@exemplo.com
CARLOS ALMEIRA,45 anos,10-77777-7777,"Rua C, 321",carlos@exemplo.com
AnA PAuLA,22 anos,12-66666-6666,"Rua Devorador de Almas, 456",anapaulinha@exemplo.com
    pedro santos,38,9355555-5555,Rua E. 777,pedroaaasantos@exemplo.com
lucas,Cinquenta,(12) 44444-4444,"Rua F, 886",luquinhasqueroquero@@exemplo.com
,27,(01) 33333-3333,"Rua G, 254",
Beatriz,,(72) 22222-2222,"Rua H, 25",biagamer123@exemplo.com
Marcos#@,40,(41) 11111-1111,"Rua Integral, aaaaaaa",marquin@exemplo.com
,,(12) 00000-0000,Sem endereço,email_inexistente
